,trend,total_volume,social_buzz
205,chained necklace,480.0,0
206,laser cut flats,2220.0,1
207,cut out pump,560.0,8
208,body exfoliants,700.0,2
209,lace illusion gown,630.0,0
210,tech tote bag,410.0,0
211,charmeuse top,700.0,0
212,pvc flats,720.0,0
213,woven tank,910.0,6
214,tight curled hair,600.0,0
215,studded accessories,840.0,0
216,mens french terry,540.0,0
217,tribecafilm,1100.0,10
218,godet gown,470.0,0
219,eye brighteners,650.0,7
220,block stripe,680.0,8
221,high waist shaping leggings,470.0,0
222,faceted drop earrings,460.0,1
223,slim fit knit boxer,490.0,0
224,faux suede jeans,480.0,0
225,bob from skechers,700.0,0
226,crocodile satchel,1080.0,0
227,pmfw,1160.0,0
228,woven booties,960.0,1
229,laser cut pumps,2080.0,0
230,palm warmer,330.0,0
231,colorblock pumps,1200.0,2
232,embossed boots,700.0,0
233,relaxed jean,720.0,4
234,worker shirts,1220.0,0
235,french terry jumpsuit,930.0,0
236,academyawards,2760.0,4
237,double faced coat,660.0,2
238,faux leather flats,990.0,0
239,bear bag charm,570.0,0
240,lemon lace dress,2480.0,0
241,plastic band watch,680.0,0
242,fashiondiaries,1400.0,409
243,cmaawards,3480.0,32
244,subtle contour,90.0,8
245,colored watch,1080.0,1
246,burgundy sequin,780.0,0
247,fuzzy bag charm,160.0,0
248,teenchoiceawards,22320.0,0
249,hatchi knit,1160.0,1
250,east west watch,460.0,0
251,semi precious cufflinks,360.0,0
252,celebrity dressing,830.0,1
253,taffeta coat,680.0,0
254,python satchel,890.0,0
255,levis womens boots,550.0,0
256,contrast coat,610.0,0
257,dried star fruit,690.0,0
258,oatmeal dress,1130.0,0
259,zip continental wallet,670.0,2
260,levis mens sneakers,810.0,0
261,city sandals,4820.0,17
262,puff bag charm,160.0,0
263,mask pack sheet,1470.0,0
264,charcoal lace dress,1520.0,0
265,felt sneakers,630.0,1
266,womens trucker jacket,690.0,0
267,gucci bag charms,420.0,0
268,dot dress shirt,1070.0,0
269,grey cotton suit,1000.0,0
270,print gown,1250.0,8
271,the peoples choice awards,430.0,2
272,harness booties,790.0,0
273,mens jacquard sweater,210.0,0
274,bow sneakers,1670.0,0
275,crocodile crossbody bag,540.0,1
276,embroidered sneakers,1070.0,0
277,corduroy flare jeans,710.0,0
278,zip ankle booties,440.0,0
279,short sleeve sport shirt,1850.0,5
280,print dress shirt,930.0,4
281,mens jersey polo,1040.0,0
282,poplin shirt dress,1560.0,1
283,cold shoulder gown,1830.0,0
284,studded coat,950.0,2
285,cottoninc,1400.0,0
286,point toe pumps,1550.0,2
287,drawstring hobo bag,1120.0,0
288,asymmetrical gown,1270.0,3
289,mens suede drivers,920.0,0
290,orbit earrings,680.0,4
291,violet lace dress,1260.0,0
292,levis 501 jean,900.0,1
293,laser cut satchel,780.0,1
294,beaded coat,1050.0,1
295,print satchel,670.0,0
296,faux leather pumps,780.0,0
297,neoprene sneakers,1270.0,2
298,hair styling creme,1800.0,0
299,retinoid eye cream,1150.0,0
300,white boyfriend cardigan,2800.0,0
301,cady dress,990.0,10
302,oriental cream,620.0,1
303,londonfashionweek,5610.0,48
304,cowl back gown,1160.0,5
305,yurba mate,1160.0,0
306,criticschoice,900.0,11
307,styleweek,1210.0,10
308,initial bag charms,180.0,0
309,olive lace dress,1100.0,0
310,lookoftheday,2030.0,606
311,tiered gown,1600.0,4
312,one shoulder romper,2700.0,0
313,mens boat neck sweater,670.0,0
314,strappy romper,1900.0,2
315,mens monk strap boot,360.0,0
316,eyelet shorts,8170.0,4
317,crocodile shoulder bag,1340.0,0
318,trapeze bags,900.0,0
319,day shoes,1640.0,15
320,han bang,1190.0,0
321,caftan gown,1140.0,0
322,cleansing stick,2070.0,7
323,mens platinum earrings,720.0,0
324,printed tote,1620.0,5
325,glossy lip,1200.0,41
326,plus size cropped jeans,3110.0,0
327,sun cushion,1660.0,3
328,mens poloshirt,780.0,0
329,oil absorbing paper,1740.0,0
330,python flats,1700.0,3
331,shearling sandals,900.0,1
332,disc ring,1380.0,1
333,nyfwm,7560.0,33
334,print skinny jeans,1540.0,4
335,grant driver,1590.0,0
336,linen romper,4280.0,4
337,teenchoice,43050.0,0
338,cowl neck gown,1860.0,2
339,levis womens shoes,1120.0,0
340,mens raglan sweater,580.0,0
341,origami nails,1260.0,0
342,styleblogger,1830.0,440
343,fabmom,1850.0,224
344,checkerboard shorts,1830.0,0
345,logo handbag,1210.0,0
346,sebum powder,1120.0,7
347,python sandals,2590.0,6
348,crocodile pumps,2120.0,0
349,cascade earrings,1680.0,2
