,trend,total_volume
273,mens jacquard sweater,210.0
69,mens chains bracelets,220.0
51,grace box bag,220.0
107,petites top,220.0
87,dried honeydew,220.0
92,colorblock booties,220.0
5220,revelation pant,220.0
58,liquid cushion,230.0
74,501 skinny,230.0
31,maternitystyle,230.0
115,leather pouchette,230.0
10,color blocked shirts,230.0
65,criticschoiceawards,230.0
82,wool crepe coat,230.0
39,mens criss cross sandals,230.0
40,womens cargo shirts,230.0
137,chained bracelet,230.0
13,embossed sandals,230.0
5268,chi top,240.0
14,gypsie junkies,240.0
180,levis womens jean,250.0
135,color blocked jacket,250.0
67,twist front gown,250.0
61,halfway updo,250.0
162,mens printed scarf,260.0
5614,strobing palette,260.0
103,mens jersey tee,260.0
126,full panel leggings,260.0
129,patchwork booties,270.0
21,annual tony awards,270.0
171,velour sneakers,270.0
201,cc pact,270.0
11,lightweight knits,280.0
5641,dockers blazers,280.0
85,mens bit drivers,280.0
52,perforated shoulder bag,280.0
5188,3d tanning,280.0
8,foil gown,280.0
174,tech duffel bag,280.0
172,neckwarmer scarf,290.0
120,burberry bag charms,290.0
70,tangerine lace dress,300.0
49,pin charm,310.0
91,pillow glasses,310.0
5580,metro pant,310.0
22,orchid lace dress,310.0
230,palm warmer,330.0
102,burshed,330.0
60,french terry romper,330.0
148,three button coat,330.0
108,drape back gown,330.0
5306,athleta asana,330.0
127,faille gown,340.0
114,kabocha chips,350.0
131,mens tech bag,350.0
5210,parsons wall mirror,350.0
46,regular fit shorts,350.0
173,mcm bag charms,360.0
167,mens button coat,360.0
315,mens monk strap boot,360.0
251,semi precious cufflinks,360.0
158,levis lace up boots,360.0
109,petite ankle leggings,360.0
79,chain flats,360.0
